title,url,premium,image url,subhed,article__type,article__byline
Israel thwarts Iranian retaliation and continues military offensive,https://www.lemonde.fr/en/international/article/2025/06/14/israel-thwarts-iranian-retaliation-and-continues-military-offensive_6742346_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/06/14/israel-thwarts-iranian-retaliation-and-continues-military-offensive_6742346_4.html,,,
The collapse of the 'axis of resistance',https://www.lemonde.fr/en/international/article/2025/06/14/israel-s-attack-on-iran-the-collapse-of-the-pro-tehran-axis-of-resistance_6742345_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/06/14/israel-s-attack-on-iran-the-collapse-of-the-pro-tehran-axis-of-resistance_6742345_4.html,,,
Attack on Iran derails France's plans to recognize a Palestinian state,https://www.lemonde.fr/en/international/article/2025/06/14/attack-on-iran-derails-france-s-plans-to-recognize-a-palestinian-state_6742343_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/06/14/attack-on-iran-derails-france-s-plans-to-recognize-a-palestinian-state_6742343_4.html,,,
'Netanyahu called Trump's bluff' by striking Iran,https://www.lemonde.fr/en/international/article/2025/06/14/philip-gordon-former-kamala-harris-adviser-netanyahu-called-trump-s-bluff-by-striking-iran_6742341_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/06/14/philip-gordon-former-kamala-harris-adviser-netanyahu-called-trump-s-bluff-by-striking-iran_6742341_4.html,,,
"Criticism is mounting in the Netherlands against Geert Wilders, who brought down the government",https://www.lemonde.fr/en/international/article/2025/06/04/in-the-netherlands-criticism-is-mounting-against-geert-wilders-who-triggered-the-fall-of-the-government_6741987_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/06/04/in-the-netherlands-criticism-is-mounting-against-geert-wilders-who-triggered-the-fall-of-the-government_6741987_4.html,,,
"Five years after Brexit, UK and EU aim for a fresh start",https://www.lemonde.fr/en/international/article/2025/05/19/five-years-after-brexit-uk-and-eu-aim-for-a-fresh-start_6741415_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/05/19/five-years-after-brexit-uk-and-eu-aim-for-a-fresh-start_6741415_4.html,,,
"In Lithuania, the fear of war with Russia lurks just around the corner",https://www.lemonde.fr/en/international/article/2025/05/18/in-lithuania-the-fear-of-war-with-russia-lurks-just-around-the-corner_6741400_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/05/18/in-lithuania-the-fear-of-war-with-russia-lurks-just-around-the-corner_6741400_4.html,,,
Unveiling Cartier's hidden treasures in Geneva,https://www.lemonde.fr/en/lifestyle/article/2025/05/16/in-geneva-unveiling-cartier-s-hidden-treasures_6741329_37.html, Subscribers only ,https://www.lemonde.fr/en/lifestyle/article/2025/05/16/in-geneva-unveiling-cartier-s-hidden-treasures_6741329_37.html,,,
French court jails two teenagers over 2024 Jewish girl rape,https://www.lemonde.fr/en/france/article/2025/06/14/french-court-jails-two-teenagers-over-2024-jewish-girl-rape_6742336_7.html,,https://www.lemonde.fr/en/france/article/2025/06/14/french-court-jails-two-teenagers-over-2024-jewish-girl-rape_6742336_7.html,,,
Two Jewish sisters' fight to honor the couple who hid them during the Holocaust,https://www.lemonde.fr/en/france/article/2025/06/13/two-jewish-sisters-fight-to-honor-the-couple-who-hid-them-during-the-holocaust_6742300_7.html, Subscribers only ,https://www.lemonde.fr/en/france/article/2025/06/13/two-jewish-sisters-fight-to-honor-the-couple-who-hid-them-during-the-holocaust_6742300_7.html,,,
French-Algerian woman given 48 hours to leave France in incomprehensible deportation order,https://www.lemonde.fr/en/le-monde-africa/article/2025/06/12/french-algerian-woman-given-48-hours-to-leave-france-in-incomprehensible-deportation-order_6742281_124.html, Subscribers only ,https://www.lemonde.fr/en/le-monde-africa/article/2025/06/12/french-algerian-woman-given-48-hours-to-leave-france-in-incomprehensible-deportation-order_6742281_124.html,,,
No miracle solution to UK's alarming number of knife attacks,https://www.lemonde.fr/en/france/article/2025/06/12/knife-crimes-no-miracle-solution-in-the-united-kingdom_6742265_7.html, Subscribers only ,https://www.lemonde.fr/en/france/article/2025/06/12/knife-crimes-no-miracle-solution-in-the-united-kingdom_6742265_7.html,,,
What is France's 'Black code' and why hasn't it been repealed?,https://www.lemonde.fr/en/videos/video/2025/05/31/what-is-france-s-black-code-and-why-hasn-t-it-been-repealed_6741860_108.html,,https://www.lemonde.fr/en/videos/video/2025/05/31/what-is-france-s-black-code-and-why-hasn-t-it-been-repealed_6741860_108.html,,,
How was the European Union created?,https://www.lemonde.fr/en/videos/video/2025/05/29/how-was-the-european-union-created_6741795_108.html,,https://www.lemonde.fr/en/videos/video/2025/05/29/how-was-the-european-union-created_6741795_108.html,,,
Glide bombs: Russia's secret to making cheap weapons,https://www.lemonde.fr/en/videos/video/2025/05/25/glide-bombs-russia-s-secret-to-making-cheap-weapons_6741646_108.html, Subscribers only ,https://www.lemonde.fr/en/videos/video/2025/05/25/glide-bombs-russia-s-secret-to-making-cheap-weapons_6741646_108.html,,,
How does the conclave pick the new pope?,https://www.lemonde.fr/en/videos/video/2025/05/07/how-does-the-conclave-pick-the-new-pope_6741005_108.html,,https://www.lemonde.fr/en/videos/video/2025/05/07/how-does-the-conclave-pick-the-new-pope_6741005_108.html,,,
'There is a world of difference between how the media portrays JK Rowling and her image among the public',https://www.lemonde.fr/en/opinion/article/2025/06/13/there-is-a-world-of-difference-between-how-the-media-portrays-jk-rowling-and-her-image-among-the-public_6742323_23.html, Subscribers only ,https://www.lemonde.fr/en/opinion/article/2025/06/13/there-is-a-world-of-difference-between-how-the-media-portrays-jk-rowling-and-her-image-among-the-public_6742323_23.html,,,
Israel's war in Iran: The choice of war and its risks,https://www.lemonde.fr/en/opinion/article/2025/06/14/israel-s-war-in-iran-the-choice-of-war-and-its-risks_6742338_23.html,,https://www.lemonde.fr/en/opinion/article/2025/06/14/israel-s-war-in-iran-the-choice-of-war-and-its-risks_6742338_23.html,,,
Thomas Piketty: 'Opponents of the tax on the ultra-wealthy lack historical perspective',https://www.lemonde.fr/en/opinion/article/2025/06/14/thomas-piketty-opponents-of-the-tax-on-the-ultra-wealthy-lack-historical-perspective_6742333_23.html, Subscribers only ,https://www.lemonde.fr/en/opinion/article/2025/06/14/thomas-piketty-opponents-of-the-tax-on-the-ultra-wealthy-lack-historical-perspective_6742333_23.html,,,
Tax equity means taxing the ultra-wealthy,https://www.lemonde.fr/en/opinion/article/2025/06/13/tax-equity-means-taxing-the-ultra-wealthy_6742311_23.html,,https://www.lemonde.fr/en/opinion/article/2025/06/13/tax-equity-means-taxing-the-ultra-wealthy_6742311_23.html,,,
"In Rome, Maria Grazia Chiuri's final bow",https://www.lemonde.fr/en/m-le-mag/article/2025/06/13/in-rome-maria-grazia-chiuri-s-final-bow_6742321_117.html, Subscribers only ,https://www.lemonde.fr/en/m-le-mag/article/2025/06/13/in-rome-maria-grazia-chiuri-s-final-bow_6742321_117.html,,,
"The life and death of Julie, 21, swept up in the spiral of social media",https://www.lemonde.fr/en/m-le-mag/article/2025/06/11/the-life-and-death-of-julie-21-swept-up-in-the-spiral-of-social-media_6742255_117.html, Subscribers only ,https://www.lemonde.fr/en/m-le-mag/article/2025/06/11/the-life-and-death-of-julie-21-swept-up-in-the-spiral-of-social-media_6742255_117.html,,,
"In Alsace, Turks reconnect with their heritage: 'It's hard to part with these objects, but I'm glad they'll be in a museum'",https://www.lemonde.fr/en/m-le-mag/article/2025/06/10/in-alsace-turks-reconnect-with-their-heritage-it-s-hard-to-part-with-these-objects-but-i-m-glad-they-ll-be-in-a-museum_6742184_117.html, Subscribers only ,https://www.lemonde.fr/en/m-le-mag/article/2025/06/10/in-alsace-turks-reconnect-with-their-heritage-it-s-hard-to-part-with-these-objects-but-i-m-glad-they-ll-be-in-a-museum_6742184_117.html,,,
The Russian family of dissidents that spans generations,https://www.lemonde.fr/en/m-le-mag/article/2025/06/09/the-russian-family-of-dissidents-that-spans-generations_6742142_117.html, Subscribers only ,https://www.lemonde.fr/en/m-le-mag/article/2025/06/09/the-russian-family-of-dissidents-that-spans-generations_6742142_117.html,,,
